Ensembl Gene ID,Up/Down Regulated,Adjusted Pv-alue,Symbol,Description
AT1G17380,Up,4.07E-66, JAZ5,Jasmonate-zim-domain protein 5 
AT1G02920,Up,5.69E-65, GSTF7,Glutathione S-transferase 7 
AT3G28940,Up,5.79E-65, AT3G28940,AIG2-like (avirulence induced family protein 
AT3G55950,Up,2.53E-63, CCR3,CRINKLY4 related 3 
AT2G15480,Up,2.45E-62, UGT73B5,UDP-glucosyl transferase 73B5 
AT1G29920,Up,6.21E-62, CAB2,Chlorophyll A/B-binding protein 2 
AT4G22690,Up,6.68E-62, CYP706A1,"Cytochrome P450, family 706, subfamily A, polypeptide 1 "
AT1G33590,Up,6.74E-62, AT1G33590,Leucine-rich repeat (LRR) family protein 
AT3G13100,Up,5.72E-61, ABCC7,Multidrug resistance-associated protein 7 
AT1G74360,Up,2.57E-60, AT1G74360,Leucine-rich repeat protein kinase family protein 
AT1G66880,Up,2.72E-60, AT1G66880,Protein kinase superfamily protein 
AT2G15490,Up,2.04E-59, UGT73B4,UDP-glycosyltransferase 73B4 
AT3G53260,Up,2.43E-59, PAL2,Phenylalanine ammonia-lyase 2 
AT1G09970,Up,1.98E-58, LRR XI-23,Leucine-rich receptor-like protein kinase family protein 
AT1G78850,Up,4.22E-58, AT1G78850,D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein 
AT5G61010,Up,9.75E-58, EXO70E2,Exocyst subunit exo70 family protein E2 
AT3G09440,Up,2.39E-57, AT3G09440,Heat shock protein 70 (Hsp 70) family protein 
AT2G38790,Up,1.95E-56, AT2G38790,Uncharacterized protein 
AT3G57530,Up,6.22E-56, CPK32,Calcium-dependent protein kinase 32 
AT1G17420,Up,8.83E-56, LOX3,Lipoxygenase 3 
AT1G55450,Up,9.66E-56, AT1G55450,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT3G16525,Up,1.45E-55, AT3G16525,Uncharacterized protein 
AT2G26530,Up,2.53E-55, AR781,"AR781, pheromone receptor-like protein (DUF1645) "
AT2G04400,Up,4.30E-54, AT2G04400,Aldolase-type TIM barrel family protein 
AT1G62300,Up,4.69E-54, WRKY6,WRKY family transcription factor 
AT3G22910,Up,8.58E-54, AT3G22910,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein 
AT3G54150,Up,6.16E-53, AT3G54150,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT4G08770,Up,1.02E-52, Prx37,Peroxidase superfamily protein 
AT5G42050,Up,2.09E-52, AT5G42050,DCD (Development and Cell Death) domain protein 
AT3G19970,Up,4.23E-52, AT3G19970,Alpha/beta-Hydrolases superfamily protein 
AT4G35110,Up,1.27E-51, AT4G35110,Phospholipase-like protein (PEARLI 4) family protein 
AT5G18470,Up,3.36E-51, AT5G18470,Curculin-like (mannose-binding) lectin family protein 
AT3G41762,Up,4.19E-51, AT3G41762,Uncharacterized protein 
AT5G05600,Up,4.47E-51, AT5G05600,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT5G51830,Up,9.63E-51, AT5G51830,PfkB-like carbohydrate kinase family protein 
AT3G09010,Up,8.91E-50, AT3G09010,Protein kinase superfamily protein 
AT1G69890,Up,1.17E-49, AT1G69890,Actin cross-linking protein (DUF569) 
AT5G27420,Up,1.25E-49, CNI1,Carbon/nitrogen insensitive 1 
AT5G66640,Up,2.05E-49, DAR3,DA1-related protein 3 
AT5G42830,Up,6.74E-49, AT5G42830,HXXXD-type acyl-transferase family protein 
AT4G04490,Up,1.59E-48, CRK36,Cysteine-rich RLK (RECEPTOR-like protein kinase) 36 
AT3G08720,Up,4.48E-48, S6K2,Serine/threonine protein kinase 2 
AT3G48090,Up,4.76E-48, EDS1,Alpha/beta-Hydrolases superfamily protein 
AT1G72330,Up,1.33E-47, ALAAT2,Alanine aminotransferase 2 
AT2G32150,Up,8.30E-47, AT2G32150,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT3G14050,Up,8.48E-47, RSH2,RELA/SPOT homolog 2 
AT5G05730,Up,2.22E-46, ASA1,Anthranilate synthase alpha subunit 1 
AT5G27760,Up,4.18E-46, AT5G27760,Hypoxia-responsive family protein 
AT2G30870,Up,4.85E-46, GSTF10,Glutathione S-transferase PHI 10 
AT1G09932,Up,8.09E-46, AT1G09932,Phosphoglycerate mutase family protein 
AT1G13210,Up,2.11E-45, ACA.l,Autoinhibited Ca2+/ATPase II 
AT1G69840,Up,2.11E-45, AT1G69840,SPFH/Band 7/PHB domain-containing membrane-associated protein family 
AT5G15970,Up,2.29E-45, KIN2,Stress-responsive protein (KIN2) / stress-induced protein (KIN2) / cold-responsive protein (COR6.6) / cold-regulated protein (COR6.6) 
AT5G22530,Up,3.33E-45, AT5G22530,Uncharacterized protein 
AT3G57450,Up,5.26E-45, AT3G57450,Uncharacterized protein 
AT3G45640,Up,1.08E-44, MPK3,Mitogen-activated protein kinase 3 
AT4G01700,Up,3.88E-44, AT4G01700,Chitinase family protein 
AT4G22590,Up,3.95E-44, TPPG,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT1G03740,Up,1.12E-43, AT1G03740,Protein kinase superfamily protein 
AT1G21130,Up,1.99E-43, IGMT4,O-methyltransferase family protein 
AT3G23550,Up,2.29E-43, AT3G23550,MATE efflux family protein 
AT1G17170,Up,3.12E-43, GSTU24,Glutathione S-transferase TAU 24 
AT4G14365,Up,3.22E-43, XBAT34,Uncharacterized protein 
AT3G11820,Up,3.95E-43, SYP121,Syntaxin of plants 121 
AT3G56710,Up,6.30E-43, SIB1,Sigma factor binding protein 1 
AT1G28190,Up,7.34E-43, AT1G28190,Uncharacterized protein 
AT5G54490,Up,9.15E-43, PBP1,Pinoid-binding protein 1 
AT4G20860,Up,9.93E-43, AT4G20860,FAD-binding Berberine family protein 
AT1G14870,Up,1.32E-42, PCR2,PLANT CADMIUM RESISTANCE 2 
AT1G23710,Up,3.60E-42, AT1G23710,
AT4G30210,Up,5.86E-42, ATR2,P450 reductase 2 
AT3G16720,Up,1.07E-41, ATL2,TOXICOS EN LEVADURA 2 
AT2G26190,Up,2.59E-41, AT2G26190,Calmodulin-binding family protein 
AT2G47730,Up,4.40E-41, GSTF8,Glutathione S-transferase phi 8 
AT5G47910,Up,9.11E-41, RBOHD,Respiratory burst oxidase homologue D 
AT3G28930,Up,1.65E-40, AIG2,AIG2-like (avirulence induced family protein 
AT3G09405,Up,2.22E-40, AT3G09405,Pectinacetylesterase family protein 
AT3G43250,Up,3.01E-40, AT3G43250,Coiled-coil protein (DUF572) 
AT1G07135,Up,3.41E-40, AT1G07135,Glycine-rich protein 
AT2G35930,Up,4.34E-40, PUB23,Plant U-box 23 
AT2G20720,Up,4.55E-40, AT2G20720,Pentatricopeptide repeat (PPR) superfamily protein 
AT2G26560,Up,5.56E-40, PLA2A,Phospholipase A 2A 
AT2G22500,Up,4.19E-39, UCP5,Uncoupling protein 5 
AT5G22630,Up,4.21E-39, ADT5,Arogenate dehydratase 5 
AT3G49120,Up,5.61E-39, PRXCB,Peroxidase CB 
AT4G35310,Up,5.67E-39, CPK5,Calmodulin-domain protein kinase 5 
AT3G48640,Up,7.52E-39, AT3G48640,Uncharacterized protein 
AT1G44350,Up,1.24E-38, ILL6,IAA-amino acid hydrolase ILR1-like 6 
AT3G44260,Up,2.07E-38, CAF1a,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein "
AT4G34710,Up,2.21E-38, ADC2,Arginine decarboxylase 2 
AT3G47480,Up,3.11E-38, AT3G47480,Calcium-binding EF-hand family protein 
AT5G11670,Up,3.97E-38, NADP-ME2,NADP-malic enzyme 2 
AT3G01290,Up,4.81E-38, HIR2,SPFH/Band 7/PHB domain-containing membrane-associated protein family 
AT1G29910,Up,1.36E-37, CAB3,Chlorophyll A/B binding protein 3 
AT1G32920,Up,1.41E-37, AT1G32920,Uncharacterized protein 
AT2G24850,Up,1.59E-37, TAT3,Tyrosine aminotransferase 3 
AT2G30440,Up,1.99E-37, TPP,Thylakoid processing peptide 
AT4G29780,Up,2.23E-37, AT4G29780,Nuclease 
AT4G32300,Up,1.62E-36, SD2-5,S-domain-2 5 
AT5G58430,Up,1.64E-36, EXO70B1,Exocyst subunit exo70 family protein B1 
AT2G34500,Up,1.68E-36, CYP710A1,"Cytochrome P450, family 710, subfamily A, polypeptide 1 "
AT5G22300,Up,1.81E-36, NIT4,Nitrilase 4 
AT5G19240,Up,3.17E-36, AT5G19240,Glycoprotein membrane GPI-anchored 
AT1G32870,Up,6.38E-36, NAC13,NAC domain protein 13 
AT1G14040,Up,6.56E-36, AT1G14040,EXS (ERD1/XPR1/SYG1) family protein 
AT1G20510,Up,6.60E-36, OPCL1,OPC-8:0 CoA ligase1 
AT2G37040,Up,1.06E-35, PAL1,PHE ammonia lyase 1 
AT3G44720,Up,2.22E-35, ADT4,Arogenate dehydratase 4 
AT4G17230,Up,2.68E-35, SCL13,SCARECROW-like 13 
AT2G34420,Up,4.46E-35, LHB1B2,Photosystem II light harvesting complex protein B1B2 
AT5G10340,Up,6.82E-35, AT5G10340,F-box family protein 
AT2G02010,Up,8.07E-35, GAD4,Glutamate decarboxylase 4 
AT3G18830,Up,9.87E-35, PMT5,Polyol/monosaccharide transporter 5 
AT2G28570,Up,2.22E-34, AT2G28570,Uncharacterized protein 
AT1G61360,Up,2.51E-34, AT1G61360,S-locus lectin protein kinase family protein 
AT4G25900,Up,2.79E-34, AT4G25900,Galactose mutarotase-like superfamily protein 
AT1G80810,Up,2.96E-34, AT1G80810,Tudor/PWWP/MBT superfamily protein 
AT4G34390,Up,3.07E-34, XLG2,Extra-large GTP-binding protein 2 
AT3G25610,Up,4.44E-34, AT3G25610,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein 
AT5G48380,Up,5.07E-34, BIR1,BAK1-interacting receptor-like kinase 1 
AT2G30250,Up,6.90E-34, WRKY25,WRKY DNA-binding protein 25 
AT1G73066,Up,6.99E-34, AT1G73066,Leucine-rich repeat family protein 
AT4G39640,Up,7.36E-34, GGT1,Gamma-glutamyl transpeptidase 1 
AT1G57990,Up,8.06E-34, PUP18,Purine permease 18 
AT1G24140,Up,8.14E-34, AT1G24140,Matrixin family protein 
AT3G01970,Up,8.97E-34, WRKY45,WRKY DNA-binding protein 45 
AT4G39030,Up,1.02E-33, EDS5,MATE efflux family protein 
AT4G36990,Up,1.24E-33, HSF4,Heat shock factor 4 
AT2G20142,Up,3.01E-33, AT2G20142,Toll-Interleukin-Resistance (TIR) domain family protein 
AT5G59540,Up,3.42E-33, AT5G59540,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT5G35735,Up,4.12E-33, AT5G35735,Auxin-responsive family protein 
AT3G52870,Up,4.53E-33, AT3G52870,IQ calmodulin-binding motif family protein 
AT5G59820,Up,7.28E-33, RHL41,C2H2-type zinc finger family protein 
AT3G19010,Up,1.32E-32, AT3G19010,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT5G01600,Down,1.78E-32, FER1,Ferretin 1 
AT4G24570,Up,4.25E-32, DIC2,Dicarboxylate carrier 2 
AT5G59450,Up,5.42E-32, AT5G59450,GRAS family transcription factor 
AT1G32230,Up,6.41E-32, RCD1,WWE protein-protein interaction domain protein family 
AT5G03380,Up,7.52E-32, AT5G03380,Heavy metal transport/detoxification superfamily protein 
AT3G48850,Up,8.38E-32, PHT3;2,Phosphate transporter 3;2 
AT4G14370,Up,1.06E-31, AT4G14370,Disease resistance protein (TIR-NBS-LRR class) family 
AT3G13110,Up,1.35E-31, SERAT2;2,Serine acetyltransferase 2;2 
AT2G27690,Up,1.41E-31, CYP94C1,"Cytochrome P450, family 94, subfamily C, polypeptide 1 "
AT1G01560,Up,1.72E-31, MPK11,MAP kinase 11 
AT4G25030,Up,1.76E-31, AT4G25030,Serine/Threonine-kinase 
AT5G54710,Up,2.73E-31, AT5G54710,Ankyrin repeat family protein 
AT3G62150,Up,6.01E-31, ABCB21,P-glycoprotein 21 
AT4G37910,Up,6.80E-31, mtHsc70-1,Mitochondrial heat shock protein 70-1 
AT2G16586,Up,8.45E-31, AT2G16586,Uncharacterized protein 
AT1G22410,Up,1.20E-30, AT1G22410,Class-II DAHP synthetase family protein 
AT5G23510,Up,1.20E-30, AT5G23510,Uncharacterized protein 
AT1G74710,Up,1.70E-30, EDS16,ADC synthase superfamily protein 
AT1G42990,Up,2.50E-30, BZIP60,Basic region/leucine zipper motif 60 
AT4G25670,Up,2.50E-30, AT4G25670,Stress response NST1-like protein 
AT5G54810,Up,3.64E-30, TSB1,Tryptophan synthase beta-subunit 1 
AT1G03730,Up,4.12E-30, AT1G03730,Pyrroline-5-carboxylate reductase 
AT4G03430,Up,4.16E-30, EMB2770,Pre-mRNA splicing factor-like protein 
AT1G01260,Up,4.30E-30, AT1G01260,Basic helix-loop-helix (bHLH) DNA-binding superfamily protein 
AT1G64610,Up,5.46E-30, AT1G64610,Transducin/WD40 repeat-like superfamily protein 
AT2G38780,Up,6.31E-30, AT2G38780,Cytochrome C oxidase subunit 
AT4G32020,Up,6.37E-30, AT4G32020,Serine/arginine repetitive matrix-like protein 
AT3G51450,Up,1.04E-29, AT3G51450,Calcium-dependent phosphotriesterase superfamily protein 
AT5G51190,Up,1.24E-29, AT5G51190,Integrase-type DNA-binding superfamily protein 
AT3G20410,Up,1.28E-29, CPK9,Calmodulin-domain protein kinase 9 
AT5G13190,Up,1.30E-29, GILP,GSH-induced LITAF domain protein 
AT3G22160,Up,1.60E-29, AT3G22160,VQ motif-containing protein 
AT5G60790,Up,2.20E-29, ABCF1,ABC transporter family protein 
AT5G18490,Up,2.83E-29, AT5G18490,Vacuolar sorting-associated protein (DUF946) 
AT5G64120,Up,3.60E-29, AT5G64120,Peroxidase superfamily protein 
AT2G01008,Up,8.02E-29, AT2G01008,Maternal effect embryo arrest protein 
AT3G57330,Up,1.01E-28, ACA11,Autoinhibited Ca2+-ATPase 11 
AT2G05070,Up,1.48E-28, LHCB2.2,Photosystem II light harvesting complex protein 2.2 
AT1G74750,Up,1.55E-28, AT1G74750,Pentatricopeptide repeat (PPR) superfamily protein 
AT1G22400,Up,1.85E-28, UGT85A1,UDP-Glycosyltransferase superfamily protein 
AT2G30550,Up,2.98E-28, AT2G30550,Alpha/beta-Hydrolases superfamily protein 
AT1G45145,Up,3.07E-28, TRX5,Thioredoxin H-type 5 
AT2G36770,Up,3.77E-28, AT2G36770,UDP-Glycosyltransferase superfamily protein 
AT1G28380,Up,5.57E-28, NSL1,MAC/Perforin domain-containing protein 
AT4G01010,Up,5.73E-28, CNGC13,Cyclic nucleotide-gated channel 13 
AT1G32350,Up,1.39E-27, AOX1D,Alternative oxidase 1D 
AT1G33600,Up,1.49E-27, AT1G33600,Leucine-rich repeat (LRR) family protein 
AT5G59550,Up,2.78E-27, RDUF2,Zinc finger (C3HC4-type RING finger) family protein 
AT5G41740,Up,2.83E-27, AT5G41740,Disease resistance protein (TIR-NBS-LRR class) family 
AT3G17690,Up,3.55E-27, CNGC19,Cyclic nucleotide gated channel 19 
AT1G53625,Up,5.10E-27, AT1G53625,Uncharacterized protein 
AT2G30750,Up,6.75E-27, CYP71A12,Cytochrome P450 family 71 polypeptide 
AT5G03630,Up,6.76E-27, ATMDAR2,Pyridine nucleotide-disulfide oxidoreductase family protein 
AT4G21400,Up,6.85E-27, CRK28,Cysteine-rich RLK (RECEPTOR-like protein kinase) 28 
AT2G46500,Up,8.49E-27, PI4K GAMMA 4,Phosphoinositide 4-kinase gamma 4 
AT5G38900,Up,9.22E-27, AT5G38900,Thioredoxin superfamily protein 
AT2G44500,Up,9.76E-27, AT2G44500,O-fucosyltransferase family protein 
AT2G30770,Up,1.00E-26, CYP71A13,Cytochrome P450 family 71 polypeptide 
AT1G57630,Up,1.02E-26, AT1G57630,Toll-Interleukin-Resistance (TIR) domain family protein 
AT4G27280,Up,1.07E-26, AT4G27280,Calcium-binding EF-hand family protein 
AT5G07440,Up,1.27E-26, GDH2,Glutamate dehydrogenase 2 
AT2G23270,Up,1.45E-26, AT2G23270,Uncharacterized protein 
AT3G52800,Up,1.72E-26, AT3G52800,A20/AN1-like zinc finger family protein 
AT5G26030,Up,1.90E-26, FC1,Ferrochelatase 1 
AT3G06500,Up,1.90E-26, A/N-InvC,Plant neutral invertase family protein 
AT2G39650,Up,1.91E-26, AT2G39650,Cruciferin (DUF506) 
AT2G04050,Up,2.26E-26, AT2G04050,MATE efflux family protein 
AT4G18880,Up,2.26E-26, HSF A4A,Heat shock transcription factor A4A 
AT3G45730,Up,2.27E-26, AT3G45730,Uncharacterized protein 
AT2G23320,Up,2.59E-26, WRKY15,WRKY DNA-binding protein 15 
AT5G28646,Up,2.93E-26, WVD2,TPX2 (targeting protein for Xklp2) protein family 
AT5G42380,Up,3.85E-26, CML37,Calmodulin like 37 
AT5G13080,Up,4.06E-26, WRKY75,WRKY DNA-binding protein 75 
AT1G08050,Up,5.63E-26, AT1G08050,Zinc finger (C3HC4-type RING finger) family protein 
AT1G30755,Up,5.63E-26, AT1G30755,"Elongation factor G, putative (DUF668) "
AT5G26920,Up,7.96E-26, CBP60G,Cam-binding protein 60-like G 
AT5G14700,Up,8.64E-26, AT5G14700,NAD(P)-binding Rossmann-fold superfamily protein 
AT2G21640,Up,1.03E-25, AT2G21640,Marker for oxidative stress response protein 
AT5G22250,Up,1.05E-25, CAF1b,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein "
AT5G54100,Up,1.07E-25, AT5G54100,SPFH/Band 7/PHB domain-containing membrane-associated protein family 
AT4G16670,Up,1.08E-25, AT4G16670,Auxin canalization protein (DUF828) 
AT5G22545,Up,1.18E-25, AT5G22545,Uncharacterized protein 
AT4G23470,Up,1.67E-25, AT4G23470,PLAC8 family protein 
AT5G27380,Up,1.73E-25, GSH2,Glutathione synthetase 2 
AT4G22710,Up,1.86E-25, CYP706A2,"Cytochrome P450, family 706, subfamily A, polypeptide 2 "
AT2G44070,Up,2.04E-25, AT2G44070,NagB/RpiA/CoA transferase-like superfamily protein 
AT1G56060,Up,2.16E-25, AT1G56060,Cysteine-rich/transmembrane domain protein B 
AT1G19770,Up,2.23E-25, PUP14,Purine permease 14 
AT1G69930,Up,2.32E-25, GSTU11,Glutathione S-transferase TAU 11 
AT1G59590,Up,2.71E-25, ZCF37,ZCF37 
AT4G38940,Up,2.77E-25, AT4G38940,Galactose oxidase/kelch repeat superfamily protein 
AT5G46910,Up,2.77E-25, AT5G46910,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein 
AT5G51440,Up,2.97E-25, AT5G51440,HSP20-like chaperones superfamily protein 
AT2G32030,Up,3.02E-25, AT2G32030,Acyl-CoA N-acyltransferases (NAT) superfamily protein 
AT5G48657,Up,3.03E-25, AT5G48657,Defense protein-like protein 
AT1G27130,Up,4.00E-25, GSTU13,Glutathione S-transferase tau 13 
AT3G47540,Up,4.16E-25, AT3G47540,Chitinase family protein 
AT5G25930,Up,4.23E-25, AT5G25930,Kinase family with leucine-rich repeat domain-containing protein 
AT5G47220,Up,4.60E-25, ERF2,Ethylene responsive element binding factor 2 
AT4G28460,Up,5.60E-25, AT4G28460,Uncharacterized protein 
AT3G47780,Up,9.06E-25, ABCA7,ABC2 homolog 6 
AT5G16080,Up,9.06E-25, CXE17,Carboxyesterase 17 
AT5G65600,Up,1.07E-24, AT5G65600,Concanavalin A-like lectin protein kinase family protein 
AT1G80820,Up,1.17E-24, CCR2,Cinnamoyl coa reductase 
AT5G04340,Up,2.08E-24, ZAT6,6
AT3G16530,Up,2.86E-24, AT3G16530,Legume lectin family protein 
AT1G61370,Up,3.24E-24, AT1G61370,S-locus lectin protein kinase family protein 
AT5G61210,Up,3.79E-24, SNAP33,Soluble N-ethylmaleimide-sensitive factor adaptor protein 33 
AT4G12735,Up,3.87E-24, AT4G12735,Uncharacterized protein 
AT3G46600,Up,4.42E-24, AT3G46600,GRAS family transcription factor 
AT2G37940,Up,4.59E-24, AtIPCS2,Inositol phosphorylceramide synthase 2 
AT3G22310,Up,5.56E-24, PMH1,Putative mitochondrial RNA helicase 1 
AT5G22520,Up,6.36E-24, AT5G22520,Uncharacterized protein 
AT5G47730,Up,6.43E-24, AT5G47730,Sec14p-like phosphatidylinositol transfer family protein 
AT2G31865,Up,6.68E-24, PARG2,Poly(ADP-ribose) glycohydrolase 2 
AT2G39660,Up,8.43E-24, BIK1,Botrytis-induced kinase1 
AT3G49620,Up,9.97E-24, DIN11,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT3G25780,Up,1.08E-23, AOC3,Allene oxide cyclase 3 
AT4G18250,Up,1.11E-23, AT4G18250,Receptor Serine/Threonine kinase-like protein 
AT3G52520,Up,1.25E-23, AT3G52520,Uncharacterized protein 
AT1G76070,Up,1.32E-23, AT1G76070,Uncharacterized protein 
AT1G75750,Down,1.40E-23, GASA1,GAST1 protein homolog 1 
AT5G02230,Up,1.46E-23, AT5G02230,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT3G04220,Up,1.57E-23, AT3G04220,Disease resistance protein (TIR-NBS-LRR class) family 
AT4G29900,Up,1.57E-23, ACA10,Autoinhibited Ca(2+)-ATPase 10 
AT5G47070,Up,1.77E-23, AT5G47070,Protein kinase superfamily protein 
AT4G26910,Up,1.90E-23, AT4G26910,Dihydrolipoamide succinyltransferase 
AT5G21090,Up,1.94E-23, AT5G21090,Leucine-rich repeat (LRR) family protein 
AT3G54640,Up,2.14E-23, TSA1,Tryptophan synthase alpha chain 
AT4G34760,Down,2.59E-23, AT4G34760,SAUR-like auxin-responsive protein family 
AT5G66675,Up,3.02E-23, AT5G66675,"Transmembrane protein, putative (DUF677) "
AT4G37640,Up,3.02E-23, ACA2,Calcium ATPase 2 
AT3G60415,Up,3.36E-23, AT3G60415,Phosphoglycerate mutase family protein 
AT1G27770,Up,3.96E-23, ACA1,Autoinhibited Ca2+-ATPase 1 
AT1G59865,Up,5.45E-23, AT1G59865,Uncharacterized protein 
AT2G21620,Up,5.45E-23, RD2,Adenine nucleotide alpha hydrolases-like superfamily protein 
AT3G04640,Up,5.59E-23, AT3G04640,Glycine-rich protein 
AT2G41880,Up,6.87E-23, GK-1,Guanylate kinase 1 
AT5G57560,Up,6.93E-23, TCH4,Xyloglucan endotransglucosylase/hydrolase family protein 
AT4G15120,Up,8.09E-23, AT4G15120,VQ motif-containing protein 
AT4G17900,Up,8.10E-23, AT4G17900,PLATZ transcription factor family protein 
AT4G11170,Up,9.85E-23, AT4G11170,Disease resistance protein (TIR-NBS-LRR class) family 
AT2G23810,Up,1.39E-22, TET8,Tetraspanin8 
AT1G17290,Up,1.51E-22, AlaAT1,Alanine aminotransferas 
AT1G06620,Up,1.66E-22, AT1G06620,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT2G45290,Up,2.29E-22, AT2G45290,Transketolase 
