Geneid	Chr	Start	End	Strand	Length	control_1	control_2	control_3	uvc_1	uvc_2	uvc_3
gene:AT1G02705	1	589584	590406	+	823	176	95	138	25	5	43
gene:AT1G02710	1	589706	589996	-	291	90	70	83	1	3	32
gene:AT1G02720	1	591682	594264	+	2583	117	136	125	235	97	3
gene:AT1G02730	1	594502	598657	-	4156	874	869	281	910	198	91
gene:AT1G02740	1	599330	602199	-	2870	75	61	38	273	43	7
gene:AT1G02750	1	602489	604387	+	1899	58	152	20	841	140	147
gene:AT1G02770	1	604873	606708	-	1836	0	2	0	0	0	0
gene:AT1G02780	1	607799	609534	-	1736	2523	3306	1349	4577	1281	1528
gene:AT1G02790	1	610363	612324	-	1962	1	0	0	2	0	0
gene:AT1G02800	1	613197	616231	-	3035	0	0	0	1	0	1
gene:AT1G02810	1	618061	620502	+	2442	0	31	22	0	0	0
gene:AT1G02813	1	620678	621329	+	652	0	0	0	0	0	11
gene:AT1G02816	1	621453	623054	+	1602	58	96	13	90	5	116
gene:AT1G02820	1	623656	624567	-	912	0	1	0	0	0	0
gene:AT1G02830	1	625084	625608	-	525	0	0	0	0	0	0
gene:AT1G02840	1	626639	629993	+	3355	603	624	259	1596	464	619
gene:AT1G02850	1	630374	633420	+	3047	145	198	64	157	27	271
gene:AT1G02860	1	635144	637262	+	2119	141	126	52	447	167	137
gene:AT1G02870	1	637214	638681	-	1468	94	86	31	197	91	73
gene:AT1G02880	1	642505	644903	-	2399	2	52	31	93	0	16
gene:AT1G02890	1	645084	652001	-	6918	670	1023	407	2195	517	702
gene:AT1G02900	1	653604	654457	-	854	0	20	0	51	25	24
gene:AT1G02910	1	655568	658216	-	2649	191	412	75	370	56	51
gene:AT1G02920	1	658578	659980	-	1403	6	6	10	4423	829	1154
gene:AT1G02930	1	661088	662475	-	1388	18	65	24	10205	2664	3609
gene:AT1G02940	1	662963	664290	-	1328	0	1	0	0	0	0
gene:AT1G02950	1	665119	666471	-	1353	265	266	91	563	71	43
gene:AT1G02960	1	666807	669919	-	3113	60	154	24	165	17	36
gene:AT1G02965	1	671661	672814	-	1154	0	0	0	0	0	0
gene:AT1G02970	1	673306	676419	+	3114	0	50	11	4	0	1
gene:AT1G02980	1	677360	681378	+	4019	0	7	0	28	23	0
gene:AT1G02990	1	681331	687385	-	6055	197	491	128	875	138	346
gene:AT1G03000	1	687795	692660	-	4866	326	319	109	204	0	89
gene:AT1G03010	1	693190	696504	+	3315	2	0	0	1	1	0
gene:AT1G03020	1	697919	698591	-	673	9	26	0	0	0	0
gene:AT1G03030	1	701365	703929	+	2565	173	122	70	260	6	46
gene:AT1G03040	1	703847	706689	-	2843	560	640	212	1352	414	361
gene:AT1G03050	1	707485	710041	+	2557	0	9	0	17	0	0
gene:AT1G03055	1	710018	711857	-	1840	0	19	0	0	0	2
gene:AT1G03060	1	712440	727553	-	15114	1100	1220	645	2249	953	957
gene:AT1G03070	1	729830	731565	+	1736	9	9	13	127	0	1
gene:AT1G03080	1	731554	738306	-	6753	1713	1820	1156	8498	1870	2969
gene:AT1G03090	1	739544	744184	+	4641	272	484	181	324	140	146
gene:AT1G03100	1	743885	746701	-	2817	25	114	1	26	0	9
gene:AT1G03103	1	747197	748057	+	861	0	0	0	0	0	0
gene:AT1G03106	1	748101	749034	-	934	0	0	0	0	0	0
gene:AT1G03110	1	749246	751976	+	2731	85	117	30	56	83	36
gene:AT1G03120	1	752191	753140	+	950	40	28	6	0	0	0
gene:AT1G03130	1	753307	754262	-	956	2800	3145	1781	5566	1884	2257
gene:AT1G03140	1	754261	756303	-	2043	336	363	206	643	109	201
gene:AT1G03150	1	756414	758678	+	2265	98	130	47	229	66	36
gene:AT1G03160	1	761261	766194	+	4934	354	651	289	322	105	197
gene:AT1G03165	1	766336	767324	+	989	29	26	30	0	0	0
gene:AT1G03170	1	768376	770684	+	2309	1	13	35	0	52	0
gene:AT1G03180	1	773358	775362	+	2005	13	12	0	0	10	1
gene:AT1G03190	1	775527	780062	+	4536	98	96	9	147	131	145
gene:AT1G03200	1	780519	782946	+	2428	0	2	0	1	0	33
gene:AT1G03210	1	782904	784346	+	1443	50	72	54	249	72	85
gene:AT1G03220	1	786832	788722	+	1891	147	87	29	2078	759	863
gene:AT1G03230	1	789820	791689	+	1870	42	120	3	267	254	197
gene:AT1G03240	1	792222	793060	-	839	0	0	0	0	0	0
gene:AT1G03250	1	793315	795403	-	2089	143	137	24	255	202	148
gene:AT1G03260	1	795449	798491	-	3043	41	51	56	19	12	21
gene:AT1G03270	1	799115	802625	+	3511	92	83	22	0	0	14
gene:AT1G03280	1	802970	807066	+	4097	463	259	264	540	261	323
gene:AT1G03290	1	807361	813216	+	5856	432	329	202	1414	237	228
gene:AT1G03300	1	811033	813086	-	2054	40	44	4	86	0	10
gene:AT1G03310	1	813413	816812	+	3400	230	324	183	401	142	88
gene:AT1G03320	1	816989	817767	+	779	7	0	0	7	0	1
gene:AT1G03325	1	817053	817178	-	126	6	0	0	7	0	0
gene:AT1G03330	1	817934	819563	-	1630	140	191	73	104	64	105
gene:AT1G03340	1	819612	821476	+	1865	20	8	0	0	0	0
gene:AT1G03350	1	822582	824410	-	1829	411	350	205	1099	213	540
gene:AT1G03360	1	824517	826399	+	1883	37	128	34	259	75	77
gene:AT1G03365	1	826523	830393	+	3871	318	324	115	168	90	163
gene:AT1G03370	1	830550	835411	+	4862	201	218	177	1269	548	788
gene:AT1G03380	1	835767	841373	+	5607	371	375	171	886	333	298
gene:AT1G03390	1	841033	842418	-	1386	2	25	0	0	0	38
gene:AT1G03395	1	841677	842158	+	482	0	0	0	0	0	14
gene:AT1G03400	1	842659	844251	-	1593	34	98	45	364	77	196
gene:AT1G03410	1	844436	847683	-	3248	186	252	151	26	22	54
gene:AT1G03430	1	847793	849621	+	1829	95	202	87	444	131	201
gene:AT1G03440	1	852151	854297	+	2147	91	249	47	1	64	88
gene:AT1G03445	1	854410	859701	-	5292	0	11	0	0	0	6
gene:AT1G03457	1	860761	864372	-	3612	2	25	31	1	0	15
gene:AT1G03470	1	865895	867733	-	1839	129	119	72	125	0	9
gene:AT1G03475	1	868853	871308	-	2456	985	1332	626	1273	539	607
gene:AT1G03490	1	871874	872906	+	1033	0	0	1	0	0	0
gene:AT1G03495	1	873166	874476	+	1311	24	34	9	237	104	84
gene:AT1G03510	1	876087	877556	-	1470	0	32	5	78	0	0
gene:AT1G03520	1	877861	880259	-	2399	60	188	49	201	7	17
gene:AT1G03530	1	880384	883599	-	3216	185	164	143	1287	248	278
gene:AT1G03540	1	883683	885611	+	1929	53	46	50	4	6	2
gene:AT1G03550	1	885623	887956	-	2334	69	89	62	336	123	47
gene:AT1G03560	1	890155	892492	-	2338	220	66	58	169	11	57
gene:AT1G03590	1	894238	897718	-	3481	96	183	71	652	79	136
gene:AT1G03600	1	898480	899794	+	1315	832	1407	411	1576	216	473
gene:AT1G03610	1	900732	903070	+	2339	641	462	261	331	210	190
gene:AT1G03620	1	904032	907643	-	3612	23	84	43	143	4	21
gene:AT1G03630	1	907523	909650	+	2128	695	1239	288	1066	60	295
gene:AT1G03650	1	910023	911292	-	1270	0	13	25	301	25	10
gene:AT1G03660	1	911310	913808	-	2499	0	14	17	410	32	87
gene:AT1G03670	1	914222	916222	-	2001	1	0	0	0	0	0
gene:AT1G03680	1	916772	918064	-	1293	719	1680	430	1304	354	347
gene:AT1G03687	1	918285	920592	+	2308	72	123	36	0	0	173
gene:AT1G03700	1	920950	922098	+	1149	1	0	2	0	0	1
gene:AT1G03710	1	923390	924730	+	1341	0	0	0	0	0	0
gene:AT1G03720	1	924896	926373	-	1478	0	0	0	0	0	0
gene:AT1G03730	1	930715	931985	-	1271	75	98	58	2543	536	670
gene:AT1G03740	1	933426	937152	+	3727	237	227	176	8046	1694	2140
gene:AT1G03750	1	937826	941162	+	3337	65	114	70	107	42	33
gene:AT1G03760	1	941062	943377	-	2316	73	34	67	70	66	19
gene:AT1G03770	1	944572	947682	+	3111	36	41	18	403	141	76
gene:AT1G03780	1	947520	951850	-	4331	206	118	105	223	84	47
gene:AT1G03790	1	954290	956144	+	1855	0	0	0	0	0	1
gene:AT1G03800	1	957104	958383	-	1280	0	0	0	0	0	0
gene:AT1G03810	1	958759	959609	+	851	1	0	0	0	0	0
gene:AT1G03820	1	959790	960916	-	1127	265	160	265	59	83	20
gene:AT1G03830	1	961684	966790	-	5107	160	160	88	318	48	84
gene:AT1G03840	1	967470	970334	-	2865	1	14	0	2	0	0
gene:AT1G03850	1	975871	977911	-	2041	19	47	7	139	266	125
gene:AT1G03860	1	979307	982002	-	2696	366	548	290	1038	183	431
gene:AT1G03870	1	982381	983544	-	1164	249	526	227	144	122	65
gene:AT1G03880	1	985751	988146	+	2396	0	0	0	0	0	0
gene:AT1G03890	1	989198	991020	+	1823	0	0	0	1	0	0
gene:AT1G03900	1	991106	993126	+	2021	264	374	166	918	214	127
gene:AT1G03905	1	993400	995989	+	2590	26	18	3	445	43	53
gene:AT1G03910	1	996076	1000629	+	4554	391	491	312	750	270	256
gene:AT1G03920	1	1001116	1004410	+	3295	31	200	41	11	13	40
gene:AT1G03930	1	1004688	1008370	+	3683	174	363	173	216	124	171
gene:AT1G03940	1	1009228	1011145	-	1918	126	122	107	578	88	55
gene:AT1G03950	1	1011151	1013365	-	2215	62	142	19	397	3	22
gene:AT1G03960	1	1013643	1017957	+	4315	105	220	82	67	55	48
gene:AT1G03970	1	1018058	1019247	+	1190	150	177	121	399	77	131
gene:AT1G03980	1	1019311	1022108	-	2798	0	11	0	0	0	0
gene:AT1G03982	1	1022251	1023719	-	1469	0	0	0	0	0	0
gene:AT1G03990	1	1024740	1027616	+	2877	13	21	2	153	17	30
gene:AT1G04000	1	1027853	1029119	-	1267	120	231	95	365	13	76
gene:AT1G04010	1	1030957	1036264	-	5308	46	112	45	142	16	42
gene:AT1G04020	1	1036493	1040262	+	3770	62	97	22	115	0	5
gene:AT1G04030	1	1040375	1042892	+	2518	63	103	50	112	63	29
gene:AT1G04040	1	1042362	1043887	-	1526	50	42	27	22	21	17
gene:AT1G04050	1	1045598	1049864	-	4267	1	19	1	30	0	31
gene:AT1G04070	1	1050505	1051194	-	690	60	24	18	598	113	73
gene:AT1G04080	1	1051312	1056827	+	5516	552	859	434	1764	479	519
gene:AT1G04090	1	1057041	1059454	+	2414	0	0	2	309	37	47
gene:AT1G04100	1	1059470	1061209	+	1740	83	34	16	368	232	101
gene:AT1G04105	1	1059730	1060348	-	619	10	28	3	246	2	21
gene:AT1G04110	1	1061297	1063809	-	2513	13	1	2	2	55	4
gene:AT1G04120	1	1064264	1071080	-	6817	1653	1755	778	1706	572	555
gene:AT1G04130	1	1073274	1075568	+	2295	63	90	36	102	26	1
gene:AT1G04140	1	1075543	1080630	-	5088	743	802	327	2186	503	513
gene:AT1G04150	1	1081024	1084431	-	3408	0	0	6	0	0	0
gene:AT1G04160	1	1086170	1096510	+	10341	145	85	7	90	58	3
gene:AT1G04170	1	1096882	1099901	+	3020	392	598	223	1553	288	436
gene:AT1G04180	1	1104493	1106241	+	1749	0	0	0	0	0	0
gene:AT1G04190	1	1106354	1108725	-	2372	155	247	15	182	26	30
gene:AT1G04200	1	1109395	1114155	+	4761	141	360	67	505	150	119
gene:AT1G04210	1	1114375	1119739	+	5365	379	815	448	2013	441	434
gene:AT1G04220	1	1119699	1122786	-	3088	1	2	0	17	2	1
gene:AT1G04230	1	1125515	1128788	+	3274	89	201	95	28	1	67
gene:AT1G04240	1	1128149	1129689	-	1541	61	103	1	0	10	52
gene:AT1G04250	1	1136078	1138663	+	2586	0	0	5	129	0	27
gene:AT1G04260	1	1140278	1141564	-	1287	17	62	9	98	124	56
gene:AT1G04270	1	1141558	1143130	-	1573	648	1214	501	2058	482	559
gene:AT1G04280	1	1143436	1147091	-	3656	11	7	28	7	84	66
gene:AT1G04290	1	1147297	1148533	-	1237	176	178	77	242	43	110
gene:AT1G04300	1	1148564	1154667	-	6104	441	862	495	1940	407	530
gene:AT1G04310	1	1154740	1157813	-	3074	268	283	112	244	38	43
gene:AT1G04330	1	1161289	1161982	-	694	43	23	0	0	0	0
gene:AT1G04340	1	1162905	1164861	-	1957	126	192	26	263	55	9
gene:AT1G04350	1	1164910	1167135	+	2226	146	247	63	279	16	81
gene:AT1G04360	1	1167288	1169034	-	1747	0	10	0	31	0	6
gene:AT1G04370	1	1175033	1175768	+	736	0	0	0	266	41	65
gene:AT1G04380	1	1176544	1178488	-	1945	18	3	0	159	0	21
gene:AT1G04390	1	1179310	1183704	-	4395	85	70	4	20	112	49
gene:AT1G04400	1	1185512	1188696	-	3185	2564	3206	1697	2694	628	1055
gene:AT1G04410	1	1188995	1191458	-	2464	2964	4143	1481	6488	2269	1896
gene:AT1G04420	1	1191519	1193884	+	2366	391	687	196	258	148	169
gene:AT1G04430	1	1197956	1201579	+	3624	575	806	319	428	209	292
gene:AT1G04440	1	1202160	1206009	+	3850	481	473	291	632	236	363
gene:AT1G04445	1	1206760	1207939	+	1180	4	5	0	0	0	0
gene:AT1G04450	1	1208521	1210026	+	1506	0	0	0	0	0	0
gene:AT1G04455	1	1210269	1210622	+	354	0	0	0	0	0	0
gene:AT1G04470	1	1210924	1214841	-	3918	0	0	3	2	0	0
gene:AT1G04480	1	1215925	1217471	+	1547	239	684	249	1110	331	433
gene:AT1G04490	1	1217690	1220899	-	3210	0	17	17	115	0	36
gene:AT1G04500	1	1221411	1224539	-	3129	0	5	0	229	0	8
gene:AT1G04510	1	1226483	1230947	+	4465	324	509	188	665	151	313
gene:AT1G04520	1	1231452	1234032	+	2581	110	144	125	4	79	17
gene:AT1G04530	1	1234176	1236206	-	2031	284	287	251	470	176	84
gene:AT1G04540	1	1236754	1239199	+	2446	55	21	43	205	0	6
gene:AT1G04550	1	1240294	1242157	+	1864	164	260	210	170	44	47
gene:AT1G04555	1	1242506	1244244	+	1739	24	46	58	78	6	33
gene:AT1G04560	1	1244947	1246059	+	1113	0	0	0	0	0	0
gene:AT1G04570	1	1246601	1248876	-	2276	0	3	10	0	3	0
gene:AT1G04580	1	1252005	1257893	-	5889	11	12	2	0	0	0
gene:AT1G04590	1	1258556	1261470	-	2915	81	158	19	268	22	73
gene:AT1G04600	1	1261762	1272588	+	10827	23	24	7	1	0	0
gene:AT1G04610	1	1279351	1281618	+	2268	0	0	0	0	0	1
gene:AT1G04620	1	1282163	1286619	-	4457	174	476	219	360	275	78
gene:AT1G04625	1	1287831	1289820	-	1990	15	29	0	0	4	0
gene:AT1G04630	1	1289734	1291112	-	1379	354	269	152	244	64	150
gene:AT1G04635	1	1291300	1292024	+	725	47	26	10	11	1	7
gene:AT1G04640	1	1292023	1293398	+	1376	96	288	134	40	21	22
gene:AT1G04645	1	1293770	1294263	-	494	0	0	0	0	0	0
gene:AT1G04650	1	1294627	1299023	-	4397	10	11	0	0	0	3
gene:AT1G04660	1	1300368	1301773	-	1406	0	0	0	0	1	0
gene:AT1G04670	1	1301829	1302758	+	930	0	0	0	1	0	0
gene:AT1G04680	1	1303467	1307973	-	4507	404	577	292	272	278	108
gene:AT1G04690	1	1313443	1315823	+	2381	487	662	251	679	250	153
gene:AT1G04700	1	1316139	1321000	+	4862	31	13	0	0	0	0
